,time,altitude,w,speed,thrust,power
25,3.000000029999717,94.0223212536306,2.510501625402152,2.510501625402152,13629.883117445657,211210.0364794666
26,3.1200000311997056,93.72118571640092,2.508423944903729,2.508423944903729,13630.015654648922,211210.03647961406
27,3.2400000323996943,93.42030018858412,2.5063348018958886,2.5063348018958886,13630.148082049403,211210.03647974218
28,3.360000033599683,93.11966604510974,2.504234205905083,2.504234205905083,13630.280399041461,211210.03647985487
29,3.4800000347996716,92.81928465976104,2.502122166510144,2.502122166510144,13630.412605019976,211210.036479955
30,3.6000000359996602,92.51915740516866,2.4999986933422393,2.4999986933422393,13630.54469938026,211210.0364800447
31,3.720000037199649,92.21928565280434,2.4978637960848347,2.4978637960848347,13630.676681518125,211210.03648012565
32,3.8400000383996375,91.91967077297471,2.49571748447365,2.49571748447365,13630.808550829877,211210.03648019905
33,3.960000039599626,91.62031413481496,2.4935597682966155,2.4935597682966155,13630.940306712304,211210.03648026593
34,4.080000040799615,91.32121710628259,2.4913906573938287,2.4913906573938287,13631.071948562729,211210.03648032714
35,4.200000041999604,91.02238105415118,2.4892101616575095,2.4892101616575095,13631.203475778966,211210.03648038322
36,4.320000043199593,90.7238073440041,2.487018291031958,2.487018291031958,13631.334887759354,211210.036480435
37,4.440000044399581,90.4254973402283,2.484815055513508,2.484815055513508,13631.466183902772,211210.03648048278
38,4.56000004559957,90.12745240600803,2.4826004651504805,2.4826004651504805,13631.597363608573,211210.0364805271
39,4.680000046799559,89.82967390331866,2.4803745300431417,2.4803745300431417,13631.728426276688,211210.03648056832
40,4.800000047999547,89.53216319292038,2.478137260343654,2.478137260343654,13631.859371307535,211210.03648060674
41,4.920000049199536,89.234921634352,2.4758886662560338,2.4758886662560338,13631.990198102087,211210.03648064254
42,5.040000050399525,88.9379505859248,2.4736287580361016,2.4736287580361016,13632.12090606186,211210.03648067615
43,5.160000051599513,88.64125140471619,2.4713575459914376,2.4713575459914376,13632.25149458886,211210.03648070758
44,5.280000052799502,88.34482544656359,2.469075040481335,2.469075040481335,13632.381963085722,211210.0364807372
45,5.400000053999491,88.04867406605821,2.4667812519167516,2.4667812519167516,13632.512310955539,211210.03648076506
46,5.520000055199479,87.75279861653887,2.4644761907602635,2.4644761907602635,13632.642537602007,211210.03648079137
47,5.640000056399468,87.45720045008574,2.462159867526017,2.462159867526017,13632.772642429312,211210.0364808162
48,5.7600000575994565,87.16188091751422,2.459832292779685,2.459832292779685,13632.902624842278,211210.03648083974
49,5.880000058799445,86.86684136836877,2.457493477138411,2.457493477138411,13633.03248424623,211210.03648086207
50,6.000000059999434,86.57208315091667,2.4551434312707694,2.4551434312707694,13633.162220047048,211210.03648088317
51,6.1200000611994225,86.27760761214189,2.45278216589671,2.45278216589671,13633.291831651188,211210.03648090328
52,6.240000062399411,85.98341609773895,2.450409691787515,2.450409691787515,13633.421318465653,211210.03648092243
53,6.3600000635994,85.68950995210672,2.448026019765745,2.448026019765745,13633.550679898051,211210.03648094065
54,6.4800000647993885,85.3958905183423,2.445631160705196,2.445631160705196,13633.679915356526,211210.03648095802
55,6.600000065999377,85.10255913823485,2.4432251255308426,2.4432251255308426,13633.809024249813,211210.0364809746
56,6.720000067199366,84.80951715225947,2.4408079252187944,2.4408079252187944,13633.938005987211,211210.03648099056
57,6.8400000683993545,84.51676589957108,2.438379570796244,2.438379570796244,13634.066859978582,211210.03648100566
58,6.960000069599343,84.22430671799826,2.4359400733414165,2.4359400733414165,13634.195585634376,211210.03648102024
59,7.080000070799332,83.93214094403714,2.4334894439835173,2.4334894439835173,13634.32418236569,211210.03648103419
60,7.2000000719993205,83.64026991284528,2.431027693902687,2.431027693902687,13634.452649584104,211210.03648104757
61,7.320000073199309,83.3486949582356,2.4285548343299452,2.4285548343299452,13634.580986701847,211210.03648106038
62,7.440000074399298,83.05741741267023,2.426070876547142,2.426070876547142,13634.709193131735,211210.03648107272
63,7.560000075599286,82.76643860725443,2.4235758318869074,2.4235758318869074,13634.837268287154,211210.0364810846
64,7.680000076799275,82.4757598717305,2.421069711732595,2.421069711732595,13634.965211582126,211210.03648109603
65,7.800000077999264,82.1853825344717,2.4185525275182393,2.4185525275182393,13635.093022431241,211210.03648110706
66,7.920000079199252,81.89530792247618,2.416024290728495,2.416024290728495,13635.2207002497,211210.03648111766
67,8.040000080399242,81.60553736136087,2.413485012898586,2.413485012898586,13635.348244453293,211210.0364811278
68,8.16000008159923,81.31607217535547,2.41093470561426,2.41093470561426,13635.475654458454,211210.0364811377
69,8.28000008279922,81.02691368729636,2.4083733805117276,2.4083733805117276,13635.602929682209,211210.03648114728
70,8.400000083999208,80.73806321862052,2.405801049277611,2.405801049277611,13635.73006954218,211210.03648115648
71,8.520000085199197,80.44952208935955,2.4032177236488965,2.4032177236488965,13635.857073456627,211210.03648116536
72,8.640000086399185,80.16129161813356,2.400623415412876,2.400623415412876,13635.983940844446,211210.03648117403
73,8.760000087599174,79.87337312214521,2.3980181364070923,2.3980181364070923,13636.110671125056,211210.03648118232
74,8.880000088799163,79.5857679171736,2.3954018985192898,2.3954018985192898,13636.237263718647,211210.0364811904
75,9.000000089999151,79.29847731756833,2.3927747136873547,2.3927747136873547,13636.36371804593,211210.03648119819
76,9.12000009119914,79.0115026362434,2.3901365938992685,2.3901365938992685,13636.490033528282,211210.03648120578
77,9.240000092399129,78.72484518467132,2.387487551193047,2.387487551193047,13636.616209587708,211210.0364812131
78,9.360000093599117,78.43850627287698,2.384827597656685,2.384827597656685,13636.742245646823,211210.03648122028
79,9.480000094799106,78.15248720943173,2.3821567454281065,2.3821567454281065,13636.868141128922,211210.0364812272
80,9.600000095999095,77.86678930144738,2.3794750066951074,2.3794750066951074,13636.993895457932,211210.0364812339
81,9.720000097199083,77.58141385457023,2.3767823936952976,2.3767823936952976,13637.11950805839,211210.03648124042
82,9.840000098399072,77.29636217297505,2.3740789187160476,2.3740789187160476,13637.244978355484,211210.03648124682
83,9.96000009959906,77.01163555935919,2.3713645940944335,2.3713645940944335,13637.370305775092,211210.03648125296
84,10.08000010079905,76.72723531493651,2.368639432217177,2.368639432217177,13637.495489743686,211210.03648125895
85,10.200000101999038,76.44316273943154,2.365903445520593,2.365903445520593,13637.62052968844,211210.03648126477
86,10.320000103199026,76.15941913107348,2.363156646490532,2.363156646490532,13637.745425037147,211210.03648127045
87,10.440000104399015,75.8760057865902,2.3603990476623204,2.3603990476623204,13637.87017521829,211210.03648127604
88,10.560000105599004,75.59292400120242,2.3576306616207083,2.3576306616207083,13637.994779660967,211210.03648128136
89,10.680000106798992,75.31017506861772,2.3548515009998097,2.3548515009998097,13638.119237795003,211210.03648128666
90,10.800000107998981,75.02776028102463,2.3520615784830423,2.3520615784830423,13638.24354905081,211210.03648129178
91,10.92000010919897,74.7456809290867,2.3492609068030754,2.3492609068030754,13638.36771285953,211210.03648129676
92,11.040000110398958,74.46393830193661,2.3464494987417686,2.3464494987417686,13638.491728652978,211210.0364813016
93,11.160000111598947,74.18253368717028,2.343627367130112,2.343627367130112,13638.615595863612,211210.03648130636
94,11.280000112798936,73.90146837084094,2.340794524848172,2.340794524848172,13638.739313924578,211210.03648131102
95,11.400000113998924,73.62074363745334,2.3379509848250284,2.3379509848250284,13638.862882269686,211210.0364813155
96,11.520000115198913,73.34036076995771,2.33509676003872,2.33509676003872,13638.986300333465,211210.03648131996
97,11.640000116398902,73.06032104974405,2.3322318635161805,2.3322318635161805,13639.109567551099,211210.0364813243
98,11.76000011759889,72.78062575663616,2.3293563083331827,2.3293563083331827,13639.232683358452,211210.0364813285
99,11.880000118798879,72.50127616888584,2.326470107614279,2.326470107614279,13639.355647192111,211210.0364813326
