,time,x,altitude,u,w,speed,thrust,power
0,-8.30637736778875,0.0,100.0,45.0,0.0,45.0,134646.3686452308,502948.2697742919
1,-8.36370454591875,-373.2182420482146,100.0,44.55555555555556,0.0,44.55555555555556,36882.28399048892,-258231.61818046356
2,-8.426355740008209,-372.1727084275932,100.0,44.111111111111114,0.0,44.111111111111114,30191.36646960001,-303080.62595194683
3,-8.497897545007092,-371.38538688728033,100.0,43.666666666666664,0.0,43.666666666666664,27024.220110850954,-251247.09413860526
4,-8.572703062885202,-370.80306814722945,100.0,43.22222222222222,0.0,43.22222222222222,25850.878817605084,-264209.19755278726
5,-8.661030086383287,-370.5154485955505,100.0,42.77777777777778,0.0,42.77777777777778,24334.22681319883,-187902.3281498785
6,-8.755045406269206,-370.56493794700737,100.0,42.333333333333336,0.0,42.333333333333336,23782.89841500613,-175043.08262718888
7,-8.85042689579522,-370.68240219463144,100.0,41.888888888888886,0.0,41.888888888888886,23522.92993895547,-173291.64467749454
8,-8.947594537458968,-370.78131678816624,100.0,41.44444444444444,0.0,41.44444444444444,23205.886771239977,-153978.62546128727
9,-9.046940946927748,-370.8763317715852,100.0,41.0,0.0,41.0,23078.233197690268,-146356.20377081155
10,-9.14761424127939,-370.95557819351757,100.0,40.55555555555556,0.0,40.55555555555556,22932.197507670306,-131962.72925524594
11,-9.249863058822836,-371.0044312390012,100.0,40.111111111111114,0.0,40.111111111111114,22864.57968455082,-122328.1006579464
12,-9.353200315782836,-371.016282053862,100.0,39.666666666666664,0.0,39.666666666666664,22860.368261389063,-116995.59878210627
13,-9.457534812192705,-370.97790563547204,100.0,39.22222222222222,0.0,39.22222222222222,22861.193455298333,-110714.00384863577
14,-9.56298431580489,-370.8884063844406,100.0,38.77777777777778,0.0,38.77777777777778,22864.63284228537,-103739.86368704514
15,-9.669626241219127,-370.7501433020281,100.0,38.333333333333336,0.0,38.333333333333336,22869.175417604223,-96251.26735651985
16,-9.7775395152381,-370.5645571064884,100.0,37.888888888888886,0.0,37.888888888888886,22873.89441263394,-88374.2100780409
17,-9.886798434012102,-370.33289149768166,100.0,37.44444444444444,0.0,37.44444444444444,22878.23882007719,-80199.45878003654
18,-9.997474255617094,-370.05611107680943,100.0,37.0,0.0,37.0,22881.89879911927,-71793.5718625852
19,-10.109635479223684,-369.7349444325047,100.0,36.55555555555556,0.0,36.55555555555556,22884.71822419074,-63206.23235810068
20,-10.22334827428457,-369.36990343372656,100.0,36.111111111111114,0.0,36.111111111111114,22886.63765676075,-54475.194343484414
21,-10.338676848783482,-368.96130320011025,100.0,35.66666666666667,0.0,35.66666666666667,22887.657157345504,-45629.65980132067
22,-10.455683807481497,-368.50927974617406,100.0,35.22222222222222,0.0,35.22222222222222,22887.812118814443,-36692.61037654732
23,-10.574430507082216,-368.01380642713156,100.0,34.77777777777778,0.0,34.77777777777778,22887.157674189613,-27682.436100299557
24,-10.694977417739365,-367.47470948878873,100.0,34.333333333333336,0.0,34.333333333333336,22885.7587537313,-18614.086812753056
25,-10.81738449589014,-366.8916829626643,100.0,33.888888888888886,0.0,33.888888888888886,22883.683856737003,-9499.896667387919
26,-10.94171157034282,-366.26430299553783,100.0,33.44444444444444,0.0,33.44444444444444,22881.001255170806,-350.18272919312585
27,-11.068018740864547,-365.59204159499774,100.0,33.0,0.0,33.0,22877.776777950883,8826.313963758876
28,-11.196366786500148,-364.8742796934063,100.0,32.55555555555556,0.0,32.55555555555556,22874.072611892276,18022.098258257145
29,-11.3268175795552,-364.1103193853331,100.0,32.111111111111114,0.0,32.111111111111114,22869.94674671085,27230.669639745436
30,-11.45943450060068,-363.29939517570267,100.0,31.666666666666668,0.0,31.666666666666668,22865.452819111993,36446.32771801087
31,-11.594282849927179,-362.440684083374,100.0,31.22222222222222,0.0,31.22222222222222,22860.640195988308,45664.0189708141
32,-11.73143025145255,-361.53331447121633,100.0,30.77777777777778,0.0,30.77777777777778,22855.554193235967,54879.21387078805
33,-11.870947045987094,-360.5763735114908,100.0,30.333333333333336,0.0,30.333333333333336,22850.236364112934,64087.80666198037
34,-12.012906671792113,-359.56891323703087,100.0,29.88888888888889,0.0,29.88888888888889,22844.724815726433,73286.03225277341
35,-12.157386031353607,-358.5099551678213,100.0,29.444444444444443,0.0,29.444444444444443,22839.054528394925,82470.39622081927
36,-12.304465844088051,-357.3984935342048,100.0,29.0,0.0,29.0,22833.25766312916,91637.61500933947
37,-12.454230985194586,-356.2334971389995,100.0,28.555555555555557,0.0,28.555555555555557,22827.363849219953,100784.56416346933
38,-12.606770810994583,-355.01390990981326,100.0,28.11111111111111,0.0,28.11111111111111,22821.400448184377,109908.2330149303
39,-12.76217947080531,-353.73865018956394,100.0,27.666666666666668,0.0,27.666666666666668,22815.392792955143,119005.68462935861
40,-12.92055620463519,-352.40660879811907,100.0,27.22222222222222,0.0,27.22222222222222,22809.364402768926,128074.0201336751
41,-13.082005624707303,-351.0166458716712,100.0,26.77777777777778,0.0,26.77777777777778,22803.33717509447,137110.34676872956
42,-13.246637976930764,-349.5675864492806,100.0,26.333333333333336,0.0,26.333333333333336,22797.33155638544,146111.7491870576
43,-13.414569375810089,-348.0582147275745,100.0,25.88888888888889,0.0,25.88888888888889,22791.366693613414,155075.2636508513
44,-13.585922002698696,-346.4872668434307,100.0,25.444444444444446,0.0,25.444444444444446,22785.460568537394,163997.85489115844
45,-13.760824252448385,-344.85342196771603,100.0,25.0,0.0,25.0,22779.630116566077,172876.3954725066
