,time,x,altitude,u,w,speed,thrust,power
0,7.354660170043531e-16,0.0,100.0,1.0,0.0,1.0,16250.021251078211,324605.6883683991
1,1.686473570266676,0.9673251414740301,100.0,1.1471571906354514,0.0,1.1471571906354514,16299.618336998159,325654.5265259691
2,3.3307571595153864,3.122848587514924,100.0,1.294314381270903,0.0,1.294314381270903,16352.216496279209,326636.2946713648
3,4.83025666730098,5.636862281503641,100.0,1.4414715719063547,0.0,1.4414715719063547,16413.152563977364,327427.4366205867
4,6.059980498325078,8.29486849550357,100.0,1.588628762541806,0.0,1.588628762541806,16492.348887932098,328443.4201151839
5,7.074391707551757,10.95334453666183,100.0,1.7357859531772575,0.0,1.7357859531772575,16559.1419180099,329320.5916218961
6,7.9460363376406775,13.620782197844587,100.0,1.882943143812709,0.0,1.882943143812709,16627.258650291635,330223.1467638387
7,8.710402759719475,16.322463099065924,100.0,2.0301003344481607,0.0,2.0301003344481607,16690.328216720594,331072.71535203
8,9.392446811728453,19.066383527734022,100.0,2.177257525083612,0.0,2.177257525083612,16752.95120385737,331926.5848040374
9,10.010019577773116,21.858606155497558,100.0,2.3244147157190636,0.0,2.3244147157190636,16811.11092901985,332735.18505630054
10,10.576382676024041,24.70386355206368,100.0,2.471571906354515,0.0,2.471571906354515,16867.701577824133,333531.99701596005
11,11.10162119658661,27.606214372088765,100.0,2.618729096989967,0.0,2.618729096989967,16919.999519801684,334282.9327125503
12,11.59364915921249,30.569426842133854,100.0,2.765886287625418,0.0,2.765886287625418,16969.725894691648,335005.15787739865
13,12.058800399355723,33.59726254599927,100.0,2.9130434782608696,0.0,2.9130434782608696,17015.032285711946,335674.7001899892
14,12.502190785152777,36.693511231193355,100.0,3.0602006688963215,0.0,3.0602006688963215,17057.231201113074,336303.2425768459
15,12.928004231696372,39.86197429199267,100.0,3.207357859531773,0.0,3.207357859531773,17095.205358191244,336875.23120715626
16,13.339781020316885,43.10661608958973,100.0,3.3545150501672243,0.0,3.3545150501672243,17129.775065305377,337396.2682404042
17,13.740574478475981,46.43174221127457,100.0,3.5016722408026757,0.0,3.5016722408026757,17160.299208890396,337856.48200251535
18,14.133254737823602,49.84241203667208,100.0,3.648829431438127,0.0,3.648829431438127,17186.636152451494,338248.2214301095
19,14.51932943462688,53.34250807235294,100.0,3.795986622073579,0.0,3.795986622073579,17213.504802480085,338641.01006165147
20,14.900164390392618,56.93433565982342,100.0,3.9431438127090304,0.0,3.9431438127090304,17236.185213487766,338961.3095493971
21,15.272670212772951,60.61165465968933,100.0,4.090301003344482,0.0,4.090301003344482,17272.364951409043,339484.67087443284
22,15.639330065418381,64.37041281455922,100.0,4.237458193979934,0.0,4.237458193979934,17285.759096661637,339642.0565200953
23,16.005297826882995,68.22404121058311,100.0,4.384615384615385,0.0,4.384615384615385,17304.93604423956,339879.8981461834
24,16.370119111630533,72.1813659653896,100.0,4.531772575250836,0.0,4.531772575250836,17318.581978942937,340014.8485802118
25,16.73511006693605,76.2440307356236,100.0,4.678929765886288,0.0,4.678929765886288,17332.684759061973,340144.641841913
26,17.100729648137573,80.41600646472584,100.0,4.826086956521739,0.0,4.826086956521739,17342.913041879427,340194.44478376774
27,17.467214027486342,84.69916411560988,100.0,4.973244147157191,0.0,4.973244147157191,17353.11729389201,340229.6769395264
28,17.835177519932426,89.09599338108484,100.0,5.120401337792643,0.0,5.120401337792643,17359.74051061578,340186.30143242737
29,18.20602479569518,93.61228400708438,100.0,5.267558528428094,0.0,5.267558528428094,17357.08573186634,339960.2618227507
30,18.5797556662812,98.25269812195515,100.0,5.414715719063546,0.0,5.414715719063546,17352.456966525926,339676.21050177916
31,18.95440705031845,103.01304907757334,100.0,5.561872909698997,0.0,5.561872909698997,17384.708884800777,340056.70548305643
32,19.318973859789864,107.8573031828443,100.0,5.709030100334449,0.0,5.709030100334449,17395.70357293579,340034.78934912576
33,19.66525870493088,112.72802068728308,100.0,5.8561872909699,0.0,5.8561872909699,17411.289876062918,340089.619133036
34,20.00645512102364,117.63454002436691,100.0,6.003344481605351,0.0,6.003344481605351,17402.044333071768,339651.7098195466
35,20.34220446266548,122.61020225598539,100.0,6.150501672240803,0.0,6.150501672240803,17410.27763000869,339535.9313941513
36,20.67312605284232,127.6535290373644,100.0,6.297658862876254,0.0,6.297658862876254,17421.123517272674,339456.86906340875
37,21.005336439001717,132.78391250076658,100.0,6.4448160535117065,0.0,6.4448160535117065,17433.989037014748,339409.8572287267
38,21.332005064259818,137.99776805955253,100.0,6.591973244147158,0.0,6.591973244147158,17452.468504054734,339464.31267532706
39,21.656251348427848,143.2821545965522,100.0,6.739130434782609,0.0,6.739130434782609,17317.63333344463,336338.73784630676
40,21.93807427516529,148.50809598603252,100.0,6.886287625418061,0.0,6.886287625418061,17102.894348158818,331445.16871410416
41,22.254734784393126,153.79966920425431,100.0,7.033444816053512,0.0,7.033444816053512,17229.130153043443,333640.42057871463
42,22.63552551988008,159.53207448622288,100.0,7.1806020066889635,0.0,7.1806020066889635,17259.302785381133,333814.16820333793
43,23.006221903701707,165.56037706052336,100.0,7.327759197324415,0.0,7.327759197324415,17463.680325258112,337749.49371250876
44,23.354557187610745,171.578708202877,100.0,7.474916387959867,0.0,7.474916387959867,17498.714196694098,338059.4532129154
45,23.696772054350927,177.5959512143408,100.0,7.622073578595319,0.0,7.622073578595319,17600.207393094624,339835.2224037949
46,24.040507755210974,183.69739636659008,100.0,7.76923076923077,0.0,7.76923076923077,17613.047684456684,339665.2511540123
