CG,Angle_1,Angle_2,Angle_3,Angle_4,Angle_5,Angle_6
2.0,"[  3.34269073  43.77055619  58.36299369 176.65730927 136.22944381
 121.63700631]"
2.015,"[  2.8967929   43.57163037  58.27177612 177.1032071  136.42836963
 121.72822388]"
2.03,"[  2.45054362  43.37138172  58.18008638 177.54945638 136.62861828
 121.81991362]"
2.045,"[  2.00399666  43.16980195  58.08792125 177.99600334 136.83019805
 121.91207875]"
2.06,"[  1.55720602  42.96688277  57.9952775  178.44279398 137.03311723
 122.0047225 ]"
2.075,"[  1.11022587  42.76261593  57.90215189 178.88977413 137.23738407
 122.09784811]"
2.09,"[  0.66311053  42.55699322  57.80854115 179.33688947 137.44300678
 122.19145885]"
2.105,"[  0.21591441  42.35000643  57.71444197 179.78408559 137.64999357
 122.28555803]"
2.12,"[  -0.23130802   42.1416474    57.61985104 -179.76869198  137.8583526
  122.38014896]"
2.135,"[  -0.67850226   41.931908     57.524765   -179.32149774  138.068092
  122.475235  ]"
2.15,"[  -1.12561385   41.72078015   57.4291805  -178.87438615  138.27921985
  122.5708195 ]"
2.165,"[  -1.57258838   41.50825581   57.33309414 -178.42741162  138.49174419
  122.66690586]"
2.18,"[  -2.01937153   41.29432699   57.23650249 -177.98062847  138.70567301
  122.76349751]"
2.195,"[  -2.46590914   41.07898573   57.13940212 -177.53409086  138.92101427
  122.86059788]"
2.21,"[  -2.91214722   40.86222415   57.04178957 -177.08785278  139.13777585
  122.95821043]"
2.225,"[  -3.35803199   40.64403441   56.94366132 -176.64196801  139.35596559
  123.05633868]"
2.24,"[  -3.80350994   40.42440876   56.84501388 -176.19649006  139.57559124
  123.15498612]"
2.255,"[  -4.24852784   40.20333947   56.74584369 -175.75147216  139.79666053
  123.25415631]"
2.27,"[  -4.6930328    39.98081892   56.6461472  -175.3069672   140.01918108
  123.3538528 ]"
2.285,"[  -5.13697229   39.75683956   56.5459208  -174.86302771  140.24316044
  123.4540792 ]"
2.3,"[  -5.58029421   39.53139389   56.44516089 -174.41970579  140.46860611
  123.55483911]"
2.315,"[  -6.02294688   39.30447453   56.34386381 -173.97705312  140.69552547
  123.65613619]"
2.33,"[  -6.46487909   39.07607417   56.2420259  -173.53512091  140.92392583
  123.7579741 ]"
2.3449999999999998,"[  -6.90604015   38.84618558   56.13964346 -173.09395985  141.15381442
  123.86035654]"
2.36,"[  -7.34637991   38.61480166   56.03671278 -172.65362009  141.38519834
  123.96328722]"
2.375,"[  -7.7858488    38.38191538   55.9332301  -172.2141512   141.61808462
  124.0667699 ]"
2.39,"[  -8.22439785   38.14751984   55.82919167 -171.77560215  141.85248016
  124.17080833]"
2.405,"[  -8.66197872   37.91160823   55.72459367 -171.33802128  142.08839177
  124.27540633]"
2.42,"[  -9.09854375   37.67417389   55.61943229 -170.90145625  142.32582611
  124.38056771]"
2.435,"[  -9.53404595   37.43521025   55.51370367 -170.46595405  142.56478975
  124.48629633]"
2.45,"[  -9.96843908   37.19471088   55.40740394 -170.03156092  142.80528912
  124.59259606]"
2.465,"[ -10.40167763   36.95266948   55.30052921 -169.59832237  143.04733052
  124.69947079]"
2.48,"[ -10.83371684   36.70907991   55.19307553 -169.16628316  143.29092009
  124.80692447]"
2.495,"[ -11.26451278   36.46393616   55.08503895 -168.73548722  143.53606384
  124.91496105]"
2.51,"[ -11.6940223    36.21723235   54.9764155  -168.3059777   143.78276765
  125.0235845 ]"
2.525,"[ -12.12220312   35.96896278   54.86720116 -167.87779688  144.03103722
  125.13279884]"
2.54,"[ -12.54901378   35.71912193   54.75739191 -167.45098622  144.28087807
  125.24260809]"
2.5549999999999997,"[ -12.97441372   35.4677044    54.64698367 -167.02558628  144.5322956
  125.35301633]"
2.57,"[ -13.39836325   35.21470501   54.53597237 -166.60163675  144.78529499
  125.46402763]"
2.585,"[ -13.8208236    34.96011873   54.42435388 -166.1791764   145.03988127
  125.57564612]"
2.6,"[ -14.24175691   34.70394075   54.31212407 -165.75824309  145.29605925
  125.68787593]"
2.615,"[ -14.66112626   34.44616641   54.19927877 -165.33887374  145.55383359
  125.80072123]"
2.63,"[ -15.07889567   34.1867913    54.08581378 -164.92110433  145.8132087
  125.91418622]"
2.645,"[ -15.49503012   33.92581117   53.97172489 -164.50496988  146.07418883
  126.02827511]"
2.66,"[ -15.90949553   33.66322202   53.85700785 -164.09050447  146.33677798
  126.14299215]"
2.675,"[ -16.32225883   33.39902006   53.74165837 -163.67774117  146.60097994
  126.25834163]"
2.69,"[ -16.73328789   33.13320171   53.62567216 -163.26671211  146.86679829
  126.37432784]"
2.705,"[ -17.1425516    32.86576365   53.5090449  -162.8574484   147.13423635
  126.4909551 ]"
2.7199999999999998,"[ -17.5500198    32.59670279   53.39177222 -162.4499802   147.40329721
  126.60822778]"
2.735,"[ -17.95566334   32.32601629   53.27384974 -162.04433666  147.67398371
  126.72615026]"
2.75,"[ -18.35945406   32.05370156   53.15527307 -161.64054594  147.94629844
  126.84472693]"
