cg;engine16_1;engine25;engine34_1;engine34_2;engine25_2;engine16_2;ACAI
3,45;0,1;0,1;0,4;0,4;0,1;0,1;-29,68
3,46;0,1;0,1;0,4;0,4;0,1;0,1;-30,89
3,47;0,1;0,1;0,4;0,4;0,1;0,1;-32,11
3,48;0,1;0,1;0,4;0,4;0,1;0,1;-33,32
3,49;0,1;0,1;0,4;0,4;0,1;0,1;-34,54
3,5;0,1;0,1;0,4;0,4;0,1;0,1;-35,75
3,51;0,1;0,1;0,4;0,4;0,1;0,1;-32,84
3,52;0,1;0,1;0,4;0,4;0,1;0,1;-21,13
3,5300000000000002;0,1;0,1;0,4;0,4;0,1;0,1;-9,42
3,54;0,1;0,1;0,4;0,4;0,1;0,1;-2,29
3,55;0,1;0,1;0,4;0,4;0,1;0,1;-14,0
3,56;0,1;0,1;0,4;0,4;0,1;0,1;-25,71
3,5700000000000003;0,1;0,1;0,4;0,4;0,1;0,1;-37,41
3,58;0,1;0,1;0,4;0,4;0,1;0,1;-45,46
3,59;0,1;0,1;0,4;0,4;0,1;0,1;-46,68
3,6;0,1;0,1;0,4;0,4;0,1;0,1;-47,89
3,61;0,1;0,1;0,4;0,4;0,1;0,1;-49,1
3,62;0,1;0,1;0,4;0,4;0,1;0,1;-50,32
3,63;0,1;0,1;0,4;0,4;0,1;0,1;-51,53
3,64;0,1;0,1;0,4;0,4;0,1;0,1;-52,74
3,65;0,1;0,1;0,4;0,4;0,1;0,1;-53,96
3,66;0,1;0,1;0,4;0,4;0,1;0,1;-55,17
3,67;0,1;0,1;0,4;0,4;0,1;0,1;-56,39
3,68;0,1;0,1;0,4;0,4;0,1;0,1;-57,6
3,69;0,1;0,1;0,4;0,4;0,1;0,1;-58,81
3,7;0,1;0,1;0,4;0,4;0,1;0,1;-60,03
3,71;0,1;0,1;0,4;0,4;0,1;0,1;-61,24
3,7199999999999998;0,1;0,1;0,4;0,4;0,1;0,1;-62,46
3,73;0,1;0,1;0,4;0,4;0,1;0,1;-63,67
3,74;0,1;0,1;0,4;0,4;0,1;0,1;-64,88
3,75;0,1;0,1;0,4;0,4;0,1;0,1;-57,9
3,76;0,1;0,1;0,4;0,4;0,1;0,1;-48,48
3,77;0,1;0,1;0,4;0,4;0,1;0,1;-39,06
3,7800000000000002;0,1;0,1;0,4;0,4;0,1;0,1;-29,63
3,79;0,1;0,1;0,4;0,4;0,1;0,1;-20,21
3,8;0,1;0,1;0,4;0,4;0,1;0,1;-10,79
